id;hex;geom
1;618737091877535743,618737091837165567,618737091836641279,618737091837689855,618737091833757695,618737091845029887,618737091841097727,618737091842146303,618737091841622015,618737091902177279,618737091901652991,618737091929178111,618737091928653823,618737091929702399,618737091486941183,618737091486416895,618737091487465471,618737091480649727,618737091479863295,618737091481436159,618737091493232639,618737091492446207,618737091494019071,618737091474358271;MULTIPOLYGON(((18.0228898614 59.3354770125,18.0215924168 59.3365311866,18.0216285645 59.3383172704,18.0229621748 59.3390492484,18.0242596721 59.3379950872,18.0242235064 59.3362089351,18.0228898614 59.3354770125)),((18.0255210055 59.3351547144,18.0242235064 59.3362089351,18.0242596721 59.3379950872,18.0255933547 59.3387270865,18.0268909065 59.3376728786,18.0268547229 59.3358866585,18.0255210055 59.3351547144)),((18.0268909065 59.3376728786,18.0255933547 59.3387270865,18.0256295053 59.3405133024,18.0269632256 59.3412453785,18.02826083 59.3401911835,18.0282246615 59.3384048995,18.0268909065 59.3376728786)),((18.0295222678 59.3373506449,18.0282246615 59.3384048995,18.02826083 59.3401911835,18.0295946227 59.3409232811,18.0308922816 59.3398690394,18.0308560952 59.3380826872,18.0295222678 59.3373506449)),((18.0308922816 59.3398690394,18.0295946227 59.3409232811,18.0296307761 59.3427096289,18.0309646064 59.3434418032,18.032262318 59.3423875744,18.0322261466 59.3406011584,18.0308922816 59.3398690394)),((18.03352386 59.33954687,18.0322261466 59.3406011584,18.032262318 59.3423875744,18.0335962207 59.3431197702,18.0348939867 59.3420654947,18.0348577974 59.3402790105,18.03352386 59.33954687)),((18.0348939867 59.3420654947,18.0335962207 59.3431197702,18.033632377 59.34490625,18.0349663172 59.3456385225,18.036264136 59.3445842599,18.0362279618 59.3427977119,18.0348939867 59.3420654947)),((18.0375257823 59.3417433897,18.0362279618 59.3427977119,18.036264136 59.3445842599,18.0375981486 59.3453165539,18.0388960218 59.3442622446,18.0388598297 59.3424756284,18.0375257823 59.3417433897)),((18.0388960218 59.3442622446,18.0375981486 59.3453165539,18.0376343078 59.3471031658,18.038968358 59.3478355366,18.0402662839 59.3467812402,18.0402301069 59.3449945601,18.0388960218 59.3442622446)),((18.0402662839 59.3467812402,18.038968358 59.3478355366,18.0390045021 59.3496222123,18.04033859 59.3503546598,18.0416365686 59.3493003763,18.0416004066 59.3475136324,18.0402662839 59.3467812402)),((18.0416365686 59.3493003763,18.04033859 59.3503546598,18.040374719 59.3521413994,18.0417088444 59.3528739237,18.0430068757 59.3518196531,18.0429707288 59.3500328453,18.0416365686 59.3493003763)),((18.0430068757 59.3518196531,18.0417088444 59.3528739237,18.0417449583 59.3546607271,18.0430791214 59.3553933281,18.0443772054 59.3543390705,18.0443410735 59.3525521988,18.0430068757 59.3518196531)),((18.0443772054 59.3543390705,18.0430791214 59.3553933281,18.0431152202 59.3571801954,18.0444494209 59.3579128732,18.0457475575 59.3568586285,18.0457114408 59.355071693,18.0443772054 59.3543390705)),((18.0470095792 59.3540173887,18.0457114408 59.355071693,18.0457475575 59.3568586285,18.0470818305 59.3575913278,18.0483800217 59.3565370364,18.048343887 59.3547500327,18.0470095792 59.3540173887)),((18.0483800217 59.3565370364,18.0470818305 59.3575913278,18.0471179322 59.3593783271,18.0484522428 59.3601111033,18.0497504866 59.3590568248,18.0497143671 59.3572697572,18.0483800217 59.3565370364)),((18.0497504866 59.3590568248,18.0484522428 59.3601111033,18.0484883293 59.3618981664,18.0498226775 59.3626310193,18.051120974 59.3615767538,18.0510848696 59.3597896224,18.0497504866 59.3590568248)),((18.0523831679 59.3587352972,18.0510848696 59.3597896224,18.051120974 59.3615767538,18.0524553945 59.3623096282,18.0537537455 59.3612553159,18.0537176232 59.3594681163,18.0523831679 59.3587352972)),((18.055015976 59.3584137444,18.0537176232 59.3594681163,18.0537537455 59.3612553159,18.0550882385 59.3619882119,18.056386644 59.3609338529,18.0563505038 59.3591465851,18.055015976 59.3584137444)),((18.057648911 59.3580921665,18.0563505038 59.3591465851,18.056386644 59.3609338529,18.0577212093 59.3616667704,18.0590196693 59.3606123647,18.0589835112 59.3588250286,18.057648911 59.3580921665)),((18.0589111469 59.355250416,18.0576127378 59.3563048943,18.057648911 59.3580921665,18.0589835112 59.3588250286,18.0602819729 59.3577705633,18.0602457818 59.3559832229,18.0589111469 59.355250416)),((18.0601733515 59.3524086015,18.0588749407 59.3534631394,18.0589111469 59.355250416,18.0602457818 59.3559832229,18.0615442453 59.3549286979,18.0615080212 59.3531413531,18.0601733515 59.3524086015)),((18.0628064865 59.3520867685,18.0615080212 59.3531413531,18.0615442453 59.3549286979,18.0628789527 59.3556615263,18.0641774707 59.3546069546,18.0641412286 59.3528195416,18.0628064865 59.3520867685)),((18.0640686964 59.349244775,18.0627702294 59.3502994193,18.0628064865 59.3520867685,18.0641412286 59.3528195416,18.0654397484 59.3517649102,18.0654034733 59.3499774928,18.0640686964 59.349244775)),((18.065330875 59.3464027176,18.0640324062 59.3474574216,18.0640686964 59.349244775,18.0654034733 59.3499774928,18.0667019948 59.3489228018,18.0666656867 59.3471353801,18.065330875 59.3464027176)))
2;618737091913187327,618737091912138751,618737091900866559,618737091899817983,618737091906633727,618737091905585151,618737091906371583,618737091846078463,618737091841097727,618737091833233407,618737091832184831,618737091832446975,618737091835854847,618737091834281983,618737091834544127,618737091854204927,618737091854467071,618737091853418495,618737091856826367;MULTIPOLYGON(((18.0545810539 59.3369686065,18.0532829049 59.3380232686,18.0533192196 59.33981023,18.0546537013 59.3405425976,18.0559519031 59.3394879484,18.0559155704 59.3377009188,18.0545810539 59.3369686065)),((18.0519484607 59.3372909778,18.0506503661 59.3383455932,18.0506866629 59.3401324864,18.0520210723 59.3408648325,18.0533192196 59.33981023,18.0532829049 59.3380232686,18.0519484607 59.3372909778)),((18.0493159944 59.3376133239,18.0480179542 59.3386678925,18.0480542331 59.3404547175,18.0493885701 59.3411870422,18.0506866629 59.3401324864,18.0506503661 59.3383455932,18.0493159944 59.3376133239)),((18.0466836549 59.3379356446,18.0453856692 59.3389901666,18.0454219301 59.3407769234,18.0467561947 59.3415092266,18.0480542331 59.3404547175,18.0480179542 59.3386678925,18.0466836549 59.3379356446)),((18.0440514422 59.3382579402,18.042753511 59.3393124154,18.042789754 59.3410991041,18.0441239462 59.3418313858,18.0454219301 59.3407769234,18.0453856692 59.3389901666,18.0440514422 59.3382579402)),((18.0414193564 59.3385802105,18.0401214796 59.339634639,18.0401577047 59.3414212595,18.0414918245 59.3421535197,18.042789754 59.3410991041,18.042753511 59.3393124154,18.0414193564 59.3385802105)),((18.0387873974 59.3389024556,18.0374895751 59.3399568374,18.0375257823 59.3417433897,18.0388598297 59.3424756284,18.0401577047 59.3414212595,18.0401214796 59.339634639,18.0387873974 59.3389024556)),((18.0361555653 59.3392246754,18.0348577974 59.3402790105,18.0348939867 59.3420654947,18.0362279618 59.3427977119,18.0375257823 59.3417433897,18.0374895751 59.3399568374,18.0361555653 59.3392246754)),((18.0348939867 59.3420654947,18.0335962207 59.3431197702,18.033632377 59.34490625,18.0349663172 59.3456385225,18.036264136 59.3445842599,18.0362279618 59.3427977119,18.0348939867 59.3420654947)),((18.032262318 59.3423875744,18.0309646064 59.3434418032,18.0310007448 59.3452282149,18.0323346127 59.345960466,18.033632377 59.34490625,18.0335962207 59.3431197702,18.032262318 59.3423875744)),((18.0296307761 59.3427096289,18.028333119 59.343763811,18.0283692395 59.3455501546,18.029703035 59.3462823841,18.0310007448 59.3452282149,18.0309646064 59.3434418032,18.0296307761 59.3427096289)),((18.0283692395 59.3455501546,18.0270715842 59.3466042771,18.0271076718 59.3483906164,18.0284414325 59.3491229012,18.0297391405 59.3480687915,18.029703035 59.3462823841,18.0283692395 59.3455501546)),((18.0257378611 59.345872069,18.0244402603 59.3469261449,18.0244763299 59.348712416,18.0258100183 59.3494446793,18.0271076718 59.3483906164,18.0270715842 59.3466042771,18.0257378611 59.345872069)),((18.0244763299 59.348712416,18.0231787309 59.3497664323,18.0232147676 59.351552699,18.0245484212 59.3522850176,18.0258460729 59.3512310142,18.0258100183 59.3494446793,18.0244763299 59.348712416)),((18.0232147676 59.351552699,18.0219171705 59.3526066557,18.0219531742 59.3543929181,18.023286793 59.355125292,18.0245844429 59.3540713482,18.0245484212 59.3522850176,18.0232147676 59.351552699)),((18.0219531742 59.3543929181,18.0206555789 59.3554468153,18.0206915498 59.3572330733,18.0220251338 59.3579655024,18.0233227817 59.3569116182,18.023286793 59.355125292,18.0219531742 59.3543929181)),((18.0206915498 59.3572330733,18.0193939563 59.3582869109,18.0194298942 59.3600731646,18.0207634434 59.3608056488,18.0220610895 59.3597518242,18.0220251338 59.3579655024,18.0206915498 59.3572330733)),((18.0180604446 59.3575545033,18.0167629057 59.3586082942,18.0167988257 59.3603944797,18.0181323025 59.3611269425,18.0194298942 59.3600731646,18.0193939563 59.3582869109,18.0180604446 59.3575545033)),((18.0154294664 59.3578759081,18.014131982 59.3589296523,18.0141678841 59.3607157697,18.0155012886 59.361448211,18.0167988257 59.3603944797,18.0167629057 59.3586082942,18.0154294664 59.3578759081)))
